ID | Feature | User Story | Expected Behaviour | Source
LOG-1 | Training day tabs | As a lifter, I want to see and switch between training days on the Log tab, so that I log only the exercises for the day I am training | On load and after save, #dayTabs renders one role="tab" button per distinct day in state.program, sorted with numeric locale compare; the current day gets class active. Clicking a tab sets global day from data-day, re-runs renderTabs() and renderWorkout() only (workout cards and gauge/meta refresh for that day). | renderTabs() ~93-95
LOG-2 | Invalid day fallback | As a lifter, I want the app to recover if my selected day no longer exists, so that the Log tab never shows an empty or broken state | When renderTabs() runs, if global day is not in days(), it is reset to days()[0] or "Day 1"; tabs and workout then render for that fallback day. | renderTabs() ~93-94; days() ~75
LOG-3 | Exercise workout cards | As a lifter, I want one card per exercise on the active day, so that I can see prescription and log all sets in context | renderWorkout() maps exercises() (filtered to current day, sorted by order then name) into article.exercise cards showing exercise name, sets×min-max reps · RIR 0-rirHigh meta, and primary-muscle tag; plus column headers Set/kg/reps/RIR and ex.sets set rows numbered 1..N. | renderWorkout() ~97-116; exercises() ~76
LOG-4 | Set row inputs and accessibility | As a lifter using assistive tech, I want labeled kg/reps/RIR inputs per set, so that I can enter data accurately on mobile | Each set row renders three number inputs with data-k="{ex.id}_{n}_{load|reps|rir}", steps 0.5 (kg, RIR) or 1 (reps), and aria-label values Set n kg, Set n reps, Set n RIR. | renderWorkout() ~103-106
LOG-5 | Default set value prefilling | As a lifter, I want sensible defaults when opening the Log tab, so that I can confirm or tweak rather than type everything from scratch | For each set n, kg defaults to draft value if present, else fmt(recommendation.load ?? last-session set-n load ?? 0); reps default to draft or ex.min; RIR default to draft or 1. Recommendation load is omitted (null) for exercises with no history. | renderWorkout() ~100-106; recommendation() ~81-83
LOG-6 | Draft autosave and restore | As a lifter, I want in-progress entries saved as I type, so that a refresh or accidental navigation does not lose my workout | On any #workout input event, all workout input values are collected by data-k into an object and written to localStorage key repforge_draft_v1. On the next renderWorkout(), any draft key overrides the computed defaults for that field. Successful save removes the draft key entirely. | renderWorkout() ~98,118; saveWorkout() ~132
LOG-7 | Last session display | As a lifter, I want to see my previous session sets for each exercise, so that I can compare against today attempt | When last(ex.name) returns sets from the most recent log session for that exercise name (latest by date, then created), a Last: line shows each set as load×reps @rir; if no history, the block is omitted. | last() ~77-78; renderWorkout() ~100-101,115
LOG-8 | New-lift recommendation | As a new user, I want guidance when an exercise has no log history, so that I know how to pick a starting load | With empty last(ex.name), recommendation() returns status:new, heat:0.12, chip label New lift, text instructing to pick a load for min-max reps at 0-rirHigh RIR, and load:null (no target kg appended). Card gets class is-new. | recommendation() ~82-83; renderWorkout() ~108-114
LOG-9 | Add-load recommendation | As a lifter who topped the rep range, I want a load increase suggestion, so that I progress when every set hit the top reps | From last session: median load, minReps=min(reps), rir=avg(rirs). If minReps>=ex.max and rir<rirHigh+1: status:add, heat:0.82, label Add load, text to add weight, load=round(median+max(median*jumpPct/100, minJump)); recommendation paragraph appends Target {load} kg. | recommendation() ~84-86; round() ~78
LOG-10 | Bold add-load recommendation | As a lifter who topped the range with reps in reserve, I want a larger jump suggestion, so that I capitalize on an easy session | If minReps>=ex.max and avg(rirs)>=rirHigh+1: status:add2, heat:1, label Add load ++, bold-jump copy, load=round(median+max(median*jumpPct*2/100, minJump)). Takes precedence over plain add. Card class is-add2. | recommendation() ~85
LOG-11 | Hold recommendation | As a lifter still inside the rep range, I want to keep load and chase reps, so that I follow double progression | If history exists and minReps>=ex.min but minReps<ex.max: status:hold, heat:0.48, label Hold · add reps, hold-and-add-reps text, load = last session median (unchanged). Prefilled kg uses that load. | recommendation() ~87-88
LOG-12 | Reduce recommendation | As a lifter who missed the bottom of the range, I want a back-off signal, so that I rebuild instead of forcing load | If minReps<ex.min: status:reduce, heat:0.18, label Back off, text that a set dropped below min reps and to hold or trim load; load remains last session median (not auto-reduced). Card class is-reduce. | recommendation() ~87
LOG-13 | Per-exercise heat bar and chip | As a lifter, I want a visual heat meter and status chip on each exercise, so that I can scan progression readiness at a glance | Each card renders .heat__fill at width round(recommendation.heat*100)% and a .chip with recommendation.label; article class is-{status} drives CSS heat styling (is-new, is-hold, is-add, is-add2, is-reduce). | renderWorkout() ~112-113
LOG-14 | Top-bar session heat gauge | As a lifter, I want a session-level heat indicator in the header, so that I see how many lifts on this day are ready to add load | updateGauge() counts current-day exercises whose recommendation status is add or add2; sets #heatGauge .gauge__fill width to (hot/total)*100% (0% if no exercises), label to {hot} hot when hot>0 else forge, and toggles class is-hot on the gauge when hot>0. | updateGauge() ~122-126
LOG-15 | Save button meta | As a lifter, I want the save button to show day and set count, so that I confirm scope before committing | #saveMeta text is {current day} · {N} sets where N is the sum of sets for all exercises on the active day; updated whenever the workout renders. | updateSaveMeta() ~128
LOG-16 | Session date picker | As a lifter, I want to set the workout date, so that I can backdate or correct the session date | #date is a type="date" input; init() sets it to today() (local YYYY-MM-DD). On save, #date.value is used, falling back to today() if empty. | index.html ~38; init() ~315; saveWorkout() ~130
LOG-17 | Session notes | As a lifter, I want optional session notes, so that I can record context with the workout | #notes textarea accepts free text; on save its trimmed value is copied onto every logged set row notes field, then the textarea is cleared. Draft autosave does not persist notes. | index.html ~44-46; saveWorkout() ~130-132
LOG-18 | Save workout flow | As a lifter, I want to commit the Log form and persist all sets, so that my session appears in Stats and History | Submitting #logForm calls saveWorkout(): prevents default; builds session id {date}_{day}_{timestamp}; for each exercise and each set pushes a row with name, set number, parsed load/reps/rir (NaN to 0), shared notes, created ISO timestamp; appends to state.log and saves; clears draft and notes; toggles .btn--save.is-stamped animation; toast Workout forged — N sets logged.; calls full render(). | saveWorkout() ~130-134
