ID,Area,Feature,User Story,Expected Behaviour,Source,Status,Test Result,Issues / Notes
LOG-1,Log,Training day tabs,"As a lifter, I want to see and switch between training days on the Log tab, so that I log only the exercises for the day I am training","On load and after save, #dayTabs renders one role=""tab"" button per distinct day in state.program, sorted with numeric locale compare; the current day gets class active. Clicking a tab sets global day from data-day, re-runs renderTabs() and renderWorkout() only (workout cards and gauge/meta refresh for that day).",renderTabs() ~93-95,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-2,Log,Invalid day fallback,"As a lifter, I want the app to recover if my selected day no longer exists, so that the Log tab never shows an empty or broken state","When renderTabs() runs, if global day is not in days(), it is reset to days()[0] or ""Day 1""; tabs and workout then render for that fallback day.",renderTabs() ~93-94; days() ~75,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-3,Log,Exercise workout cards,"As a lifter, I want one card per exercise on the active day, so that I can see prescription and log all sets in context","renderWorkout() maps exercises() (filtered to current day, sorted by order then name) into article.exercise cards showing exercise name, sets×min-max reps · RIR 0-rirHigh meta, and primary-muscle tag; plus column headers Set/kg/reps/RIR and ex.sets set rows numbered 1..N.",renderWorkout() ~97-116; exercises() ~76,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-4,Log,Set row inputs and accessibility,"As a lifter using assistive tech, I want labeled kg/reps/RIR inputs per set, so that I can enter data accurately on mobile","Each set row renders three number inputs with data-k=""{ex.id}_{n}_{load",reps,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-5,Log,Default set value prefilling,"As a lifter, I want sensible defaults when opening the Log tab, so that I can confirm or tweak rather than type everything from scratch","For each set n, kg defaults to draft value if present, else fmt(recommendation.load ?? last-session set-n load ?? 0); reps default to draft or ex.min; RIR default to draft or 1. Recommendation load is omitted (null) for exercises with no history.",renderWorkout() ~100-106; recommendation() ~81-83,Verified — fixed,"Re-tested: new-lift kg shows blank placeholder; typing 80 reads ""80""; reps select-on-focus replaces cleanly.",FIXED: blank kg default + select-on-focus on set inputs.
LOG-6,Log,Draft autosave and restore,"As a lifter, I want in-progress entries saved as I type, so that a refresh or accidental navigation does not lose my workout","On any #workout input event, all workout input values are collected by data-k into an object and written to localStorage key repforge_draft_v1. On the next renderWorkout(), any draft key overrides the computed defaults for that field. Successful save removes the draft key entirely.","renderWorkout() ~98,118; saveWorkout() ~132",Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-7,Log,Last session display,"As a lifter, I want to see my previous session sets for each exercise, so that I can compare against today attempt","When last(ex.name) returns sets from the most recent log session for that exercise name (latest by date, then created), a Last: line shows each set as load×reps @rir; if no history, the block is omitted.","last() ~77-78; renderWorkout() ~100-101,115",Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-8,Log,New-lift recommendation,"As a new user, I want guidance when an exercise has no log history, so that I know how to pick a starting load","With empty last(ex.name), recommendation() returns status:new, heat:0.12, chip label New lift, text instructing to pick a load for min-max reps at 0-rirHigh RIR, and load:null (no target kg appended). Card gets class is-new.",recommendation() ~82-83; renderWorkout() ~108-114,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-9,Log,Add-load recommendation,"As a lifter who topped the rep range, I want a load increase suggestion, so that I progress when every set hit the top reps","From last session: median load, minReps=min(reps), rir=avg(rirs). If minReps>=ex.max and rir<rirHigh+1: status:add, heat:0.82, label Add load, text to add weight, load=round(median+max(median*jumpPct/100, minJump)); recommendation paragraph appends Target {load} kg.",recommendation() ~84-86; round() ~78,Verified — pass,Re-confirmed in browser post-fix; no regression.,
LOG-10,Log,Bold add-load recommendation,"As a lifter who topped the range with reps in reserve, I want a larger jump suggestion, so that I capitalize on an easy session","If minReps>=ex.max and avg(rirs)>=rirHigh+1: status:add2, heat:1, label Add load ++, bold-jump copy, load=round(median+max(median*jumpPct*2/100, minJump)). Takes precedence over plain add. Card class is-add2.",recommendation() ~85,Verified — pass,Re-confirmed in browser post-fix; no regression.,
