ts	phase	decision	why	evidence	result
2026-08-29T22:00:00Z	frame	Reconstructed PR 201 from fetched head e63882b against origin/main e7b6d16 before editing	Review line numbers and the PR handoff were stale or incomplete	PR #201; .audit/pr-201-owner-review-ledger.md	open
2026-08-29T22:01:00Z	evidence	Read all eight top-level comments, confirmed no inline threads or submitted reviews, and inspected all 18 attached runtime images	Every finding and its evidence had to be accounted for before implementation	PR #201 comments; /tmp/pr201-review-evidence	complete
2026-08-29T22:02:00Z	contract	Kept about_half as interrupted and treated the disabled flag plus runtime week-one consumption as the defects	The approved policy defines a one-week interrupted treatment and forbids remapping it to returning	docs/plan-047-owner-approved-design.md; program-entry-adapter.js:127	confirmed
2026-08-29T22:03:00Z	architecture	Separated program-only Import convergence from full-backup restore	A program candidate must use common review and archive-safe activation; a full backup deliberately restores full state	app.js:2288; docs/program-entry-flow.md:215	confirmed
2026-08-29T22:04:00Z	compatibility	Kept the ADR 0007 shared codec and consent gate, with convergence only after validated handoff	Released links and iOS handoff semantics cannot be changed while Plan 048 still requires common preview	docs/program-entry-flow.md:215,244-248	confirmed
2026-08-29T22:05:00Z	telemetry	Confirmed the PostHog token finding against the exact 1.400.0 tagged SDK	The SDK drops events whose before_send hook removes the required token	PostHog posthog-core.ts tag posthog-js@1.400.0 lines 4186-4230	confirmed
2026-08-29T22:06:00Z	visual	Used mockups for hierarchy and density but retained Taurifer ink CTAs, real app chrome, and hairline grouping	Brand and accessibility rules override generated mockup artifacts	docs/brand-guide.md; PR comments S2/S6	confirmed
2026-08-29T22:07:00Z	ledger	Created the complete pre-implementation finding ledger with duplicates, false positives, intentional differences, and evidence gaps	The owner required a ledger before any implementation	.audit/pr-201-owner-review-ledger.md	ready to commit
2026-08-29T22:30:00Z	design	Selected one capability-owned setup draft and one archive-safe activation transaction	The design prevents direct active writes and concentrates CAS, archival, and cleanup policy behind two boundaries	.audit/pr-201-activation-design.md	cross-judge selected Candidate C, 29/30
2026-08-29T22:31:00Z	design	Kept week prescriptions durable and projected the current block week at runtime	One-time week-one materialization would leave interrupted programs reduced after week one	.audit/pr-201-activation-design.md	ready for named red tests
2026-08-29T23:00:00Z	interrupted-treatment	Enabled the approved interrupted treatment and projected stored sets for the current block week	This fixes execution without changing the authored program, strategy, RIR, family, schedule, formula, or constants	commit 801b57e	12 adapter, 44 entry browser, 32 cache, 47 Today, and 116 Focus checks passed
2026-08-30T00:07:05Z	setup-draft-cas	Wrapped setup drafts in a versioned owner envelope and made exact observed bytes an activation precondition under the durable storage lock	A stale tab must neither restore over nor activate past a newer draft, while legacy bare drafts must remain resumable	commit a438404	27 pure, 12 adapter, 57 entry browser, 75 destructive-draft, 35 i18n, and 32 cache checks passed
2026-08-30T00:12:00Z	generative-fixture	Removed cloned exercise identity fields from the synthetic custom pollution carrier	The arbitrary duplicated a sentinel exercise ID before validation; the strict product validator correctly rejected the invalid fixture	test/generative/arbitraries/setup-payload.mjs	exact seed and full seeded smoke pass, 36/36
2026-08-30T01:20:00Z	activation-transaction	Centralized archive-safe program replacement and exact durable-revision CAS across entry, beginner, Import, and block paths	The UI promise, historical recovery, and stale-tab safety require one transaction that captures the outgoing program before a locked compare-and-swap	commit 58c2d9b	931 simulation, 82 entry browser, 82 import review, 75 draft conflict, 128 persistence, and thermonuclear race checks passed
2026-08-30T01:21:00Z	archive-eligibility	Classified a current program by explicit onboarding or durable usage evidence, never by a partially entered name or date	Legacy used programs must archive, while incomplete first-run metadata must not create meaningless history	commit 58c2d9b	named browser checks cover both sides; independent no-comments review findings accepted and fixed
2026-08-30T12:39:25Z	candidate-editor	Routed Build and preview edits through the owned setup-draft CAS boundary instead of activating or temporarily swapping global state	Build and Edit before using share one candidate editor, so one boundary prevents every editor mutation from replacing the active program before explicit activation	app.js; program-entry.js	102 entry browser, 28 pure, 12 adapter, 75 draft-conflict, 82 import-review, 931 simulation, 35 i18n, and 32 cache checks passed
2026-08-30T12:39:25Z	candidate-library	Kept full-library selection inside the candidate transaction and withheld custom-definition creation/editing while a setup candidate is open	Custom definitions are active durable state today; exposing their mutators would violate byte-identical active state until the result schema can own staged definitions	app.js; test/program-entry-browser.mjs	byte-level runtime coverage for quick picker, full library, existing custom selection, failed Save draft, Today, reload/resume, and explicit activation
2026-08-30T14:16:00Z	import-convergence	Moved reviewed program-only imports into the owned setup candidate and common explicit activation transaction	Import must preserve the hardened parser and identity mapper without gaining a second replacement path beside Plan 048	commit 8a366fc	88 import review, 102 entry browser, 49 telemetry runtime, 75 draft-conflict, and 931 simulation checks passed
2026-08-30T14:16:00Z	import-candidate-identity	Bound imported custom definitions and the deterministic fingerprint to the edited semantic candidate	Candidate edits must neither activate orphan definitions nor retain a fingerprint for bytes the lifter changed	commit 8a366fc	independent no-comments review findings accepted; named delete-last-reference, fingerprint, collision-remap, and explicit-activation browser checks pass
